@relation ./files/finalDataSetTrimmed.csv
@attribute Pick integer
@attribute Pos { C, SG, FC, G, F, SF, PF, PG, GF }
@attribute HT integer
@attribute WT integer
@attribute Age integer
@attribute League { NCAA, INTERNATIONAL, GLEAGUE }
@attribute GP integer
@attribute GS integer
@attribute MIN real
@attribute FGM real
@attribute FGA real
@attribute FG_percent real
@attribute 3PM real
@attribute 3PA real
@attribute 3P_percent real
@attribute FTM real
@attribute FTA real
@attribute FT_percent real
@attribute OFF real
@attribute DEF real
@attribute TRB real
@attribute AST real
@attribute STL real
@attribute BLK real
@attribute PF real
@attribute TOV real
@attribute PTS real
@attribute TS_percent real
@attribute eFG_percent real
@attribute ORB_percent real
@attribute DRB_percent real
@attribute TRB_percent real
@attribute AST_percent real
@attribute TOV_percent real
@attribute STL_percent real
@attribute BLK_percent real
@attribute USG_percent real
@attribute Total_S_percent real
@attribute PPR real
@attribute PPS real
@attribute ORtg real
@attribute DRtg real
@attribute PER real
@data
12,SF,206,106,19,NCAA,36,21,23,3.25,6.67,0.487,0.11,0.81,0.138,2.08,2.83,0.735,1.81,3.42,5.22,1.06,0.53,0.44,1.58,1.14,8.69,0.543,0.496,9.83,15.85,13.08,9.15,12.44,1.43,2.02,20.61,136.07,-1.93,1.3,116.3,84.5,18.6
13,SG,198,93,18,NCAA,38,0,21.5,3.55,7.55,0.47,1.53,3.71,0.411,1.39,1.68,0.828,0.45,1.55,2,1.11,0.45,0.05,1.53,0.97,10.03,0.6,0.571,2.66,7.83,5.46,10.8,10.44,1.3,0.26,22.67,170.99,-1.12,1.33,122.9,90.8,18.2
14,G,191,86,20,NCAA,69,68,32.4,6.3,14.59,0.432,2.26,6.29,0.359,3.67,4.7,0.781,0.45,3.2,3.65,5.71,1.81,0.54,2.43,2.86,18.54,0.551,0.509,1.65,10.85,6.44,37.05,14.51,3.3,1.68,30.46,157.23,2.87,1.27,115.8,100.6,23.99
15,SF,198,93,19,NCAA,36,27,21,3.06,6.89,0.444,0.94,2.64,0.358,2.19,3.06,0.718,1.14,3.83,4.97,0.78,1.14,0.36,1.97,1.19,9.25,0.555,0.512,6.44,19.23,13.21,8.12,12.53,3.26,1.75,23.11,151.96,-3.16,1.34,111.9,91.6,20.19
16,G,185,88,21,NCAA,73,45,26.8,4.21,10.32,0.408,1.15,3.48,0.331,2.41,3.12,0.772,0.97,3.33,4.3,2.4,1.51,0.11,1.59,1.38,11.97,0.507,0.463,3.98,13.88,8.89,17.81,10.5,3.34,0.44,24.42,151.03,0.79,1.16,111.3,89.1,19.24
17,SF,198,95,18,NCAA,23,23,32.2,6.26,14.26,0.439,2.35,6.13,0.383,2.96,4.26,0.694,0.61,4.22,4.83,1.57,0.78,0.35,2.35,2.17,17.83,0.547,0.521,2.22,13.52,8.24,12.37,11.78,1.49,1.05,30.78,151.59,-3.52,1.25,104.1,99.9,19.54
18,SF,206,104,21,NCAA,113,81,27.9,4.42,8.96,0.493,1.26,3.61,0.348,1.97,2.84,0.695,1.64,3.4,5.04,1.31,0.65,0.48,1.21,1.02,12.06,0.585,0.563,7.36,14.84,11.16,10.46,8.99,1.5,1.71,22.86,153.58,-0.56,1.35,122,96.8,21.97
19,SG,193,90,22,NCAA,119,117,36.4,4.67,10.73,0.435,1.5,4.36,0.345,3.76,4.76,0.79,0.39,2.49,2.88,5.8,1.47,0.31,1.84,2.24,14.61,0.562,0.505,1.39,7.89,4.8,31.64,14.68,2.56,0.87,23,157.04,4.73,1.36,117.7,102,19.99
20,G,196,84,23,NCAA,68,68,34.8,4.99,9.32,0.535,0.56,1.87,0.299,4.5,5.53,0.814,1.12,4.72,5.84,5.18,2.28,1.13,1.62,2.24,15.03,0.629,0.565,4.33,15.4,10.34,30.74,15.76,4.06,3.49,22.12,164.77,3.58,1.61,127.4,88,26.29
21,F,198,104,21,NCAA,98,45,24.1,2.94,6.83,0.43,0.99,2.78,0.357,2.04,2.7,0.755,0.77,2.71,3.48,1.84,0.61,0.86,1.41,1.28,8.91,0.549,0.503,4.16,13.54,9.05,16.52,13.59,1.68,4.32,22.23,154.18,-0.23,1.3,111.4,90.2,18.39
