Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
G,193cm,93kg,21,NCAA,122,10.15,0.519,0.76,0.238,5.55,0.657,8,1.06,1.83,0.67,2.69,1.84,14.37,0.562,0.528,11.82,24.61,18.02,12.59,4.25,2.7,141.41,-4.4,113.1,92.8,61
C,213cm,107kg,21,GLEAGUE,0,9.25,0.622,0.5,0.5,2.5,0.9,9,2,0.75,3.25,2.75,2,16.25,0.785,0.635,13.28,19.44,16.47,16.19,1.37,9.65,202.16,-2.51,127,112.7,61
F,198cm,97kg,22,NCAA,77,3.36,0.421,0.94,0.289,1.24,0.593,3.31,0.99,0.76,0.26,1.71,1.07,3.83,0.486,0.462,9.09,15.92,12.62,21.41,2.99,1.85,130.4,-2.71,96.1,95.4,61
F,203cm,94kg,21,GLEAGUE,30,9.19,0.486,5.39,0.366,1.42,0.824,5.33,2.58,1.61,0.61,2.06,1.33,12.83,0.654,0.594,3.37,14.91,9.29,11.96,2.47,1.7,167.59,1.25,119.3,108.9,61
SF,201cm,107kg,22,NCAA,120,10.95,0.459,1.14,0.208,5.67,0.754,5.07,1.72,0.63,0.58,2.98,2.56,14.58,0.534,0.47,4.71,13.91,9.45,15.77,1.21,2.03,142.16,-4.52,102.5,98.8,61
F,206cm,91kg,23,NCAA,61,10.55,0.499,1.77,0.393,4.8,0.757,7.61,1.61,0.83,1.88,2.7,2.7,14.85,0.579,0.532,7.08,19.52,13.54,17.37,1.55,6.16,164.88,-5,107.2,98.8,61
SG,196cm,94kg,22,NCAA,120,7.73,0.436,2.67,0.331,3.04,0.747,4.28,1.8,1.11,0.16,1.99,1.31,9.9,0.539,0.493,5.04,11.63,8.44,12.51,2.29,0.59,151.38,-0.38,112.2,98.6,61
SG,203cm,95kg,23,NCAA,124,10.42,0.436,2.68,0.342,2.45,0.696,3.82,2.1,0.91,0.42,1.85,1.63,11.72,0.505,0.48,2.99,10.1,6.78,12.34,1.68,1.36,147.4,-0.71,101.6,99.7,61
PF,203cm,96kg,22,NCAA,13,5.59,0.424,2.43,0.33,1.54,0.62,4.04,1.2,0.8,0.61,2.11,1.35,6.5,0.514,0.496,5.99,13.81,10.12,17.58,2.07,2.87,137.42,-2.39,100.6,90.8,61
PF,203cm,107kg,22,NCAA,42,3.78,0.508,0.01,0,1.06,0.562,3.43,0.37,0.46,0.83,1.67,0.72,4.43,0.517,0.508,11.1,17.12,14.23,14.45,1.99,6.65,106.91,-3.47,103.8,86.3,61
PG,180cm,79kg,22,NCAA,110,10.64,0.416,4.09,0.38,4.48,0.794,3.48,3.84,1.41,0.17,1.61,2.36,13.95,0.546,0.489,1.89,9.75,6.07,15.6,2.6,0.54,158.94,0.61,109.7,99.1,61
F,206cm,100kg,23,NCAA,69,3.71,0.646,0.03,0.333,2.11,0.465,5.15,0.72,0.58,0.69,1.84,0.94,5.77,0.613,0.647,10.4,21.93,16.49,16.66,1.88,3.97,144.4,-2.48,113.9,92.8,61
PG,188cm,79kg,22,NCAA,98,7.85,0.416,2.25,0.278,4.16,0.774,2.81,2.98,1.32,0.17,2.29,1.61,10.38,0.528,0.456,2.82,9.31,5.99,14.07,3.01,0.68,146.75,1.42,110,101.6,61
F,198cm,93kg,21,INTERNATIONAL,53,10.13,0.499,3.3,0.343,3.57,0.725,5.28,2.56,1.61,0.94,3.13,2.56,13.83,0.591,0.555,4,17.71,11.06,17.92,2.86,3.22,156.72,-2.8,104.2,101,61
C,211cm,113kg,22,NCAA,106,5.31,0.438,0.46,0.258,1.06,0.708,4.63,0.54,0.49,1.48,2.79,0.99,5.51,0.474,0.449,9.79,13.66,11.67,14.5,1.29,7.26,140.41,-2.72,100.7,97.5,61
F,198cm,98kg,23,NCAA,134,12.26,0.437,4.11,0.337,4.15,0.757,7.81,1.17,1.17,0.68,2.42,1.82,15.25,0.536,0.494,7.56,17.1,12.33,11.35,1.97,1.97,153.15,-2.92,111.5,99.9,61
F,206cm,110kg,22,NCAA,107,6.84,0.457,2.35,0.314,3.02,0.724,5.9,0.72,0.61,0.89,2.76,1.41,9.18,0.554,0.511,11.37,16.98,14.24,14.55,1.58,4.09,149.52,-4.03,113.3,96.5,61
C,211cm,122kg,22,NCAA,108,3.73,0.585,0.01,0,2.21,0.554,5.87,0.24,0.35,1.46,2.9,1.38,5.59,0.584,0.585,16.27,24.91,20.49,22.42,1.29,9.98,113.85,-7.47,103.6,86.8,61
PF,206cm,102kg,22,NCAA,66,8.09,0.455,0.46,0.333,2.97,0.633,5.28,0.56,0.63,0.9,2.34,1.63,9.41,0.495,0.465,9.68,16.7,13.11,14.65,1.64,4.42,142.21,-5.45,98,103.6,61
F,206cm,111kg,22,NCAA,78,5.55,0.558,0.08,0.222,3.65,0.571,6.13,0.98,0.84,1.52,2.49,1.74,8.32,0.571,0.56,9.5,20.34,15.1,19.27,2.11,6.77,135.19,-4.55,105.8,98.8,61
F,206cm,95kg,23,NCAA,104,4.63,0.543,0.01,0,2.04,0.558,5.33,0.4,0.55,2.61,2.37,0.66,6.17,0.551,0.543,10.21,17.15,13.62,10.57,1.47,12.26,110.18,-1.76,116.4,89.6,61
G,193cm,81kg,22,NCAA,28,14.41,0.455,4.62,0.343,8.48,0.805,5.93,2.93,2.55,1.31,2.97,2.76,21.52,0.583,0.51,4.86,13.97,9.51,13.01,3.96,3.47,160.27,-2.05,116.3,100.9,61
FC,208cm,95kg,21,GLEAGUE,3,4.42,0.541,0.55,0.167,1.33,0.659,4.12,0.88,0.52,0.76,1.91,0.85,5.76,0.575,0.551,11.87,13.64,12.75,14.48,1.48,4.31,136.69,-1.58,117,105.8,61
C,213cm,113kg,23,NCAA,82,5.37,0.508,0.01,0,3.63,0.673,5.72,0.47,0.52,1.7,2.7,1.89,7.89,0.557,0.508,9.52,20.88,15.21,21.08,1.39,8.64,118.1,-7.06,101.2,96.8,61
PG,188cm,84kg,22,NCAA,141,9.18,0.434,5.45,0.416,3.09,0.843,2.85,3.77,1.25,0.05,1.89,1.56,12.85,0.603,0.558,1.27,8.24,5.07,12.8,2.27,0.16,169.29,2.9,125.4,97.9,61
C,213cm,107kg,22,NCAA,5,2.94,0.581,0.01,0,1.11,0.65,3.18,0.27,0.17,1.43,2.08,0.79,4.14,0.597,0.581,10.06,18.95,14.69,18.51,0.78,12.13,123.11,-4.75,110.2,98.5,61
SF,196cm,98kg,22,NCAA,88,8.6,0.481,1.06,0.402,5.16,0.756,4.1,3.19,1.45,0.42,1.98,2.27,12.59,0.57,0.505,4.88,12.54,8.88,17.07,3.11,1.59,163.83,-0.53,112.1,93.4,61
PG,183cm,82kg,21,NCAA,44,9.45,0.436,3.53,0.345,2.28,0.747,2.8,3.67,1,0.14,1.62,1.36,11.17,0.53,0.501,2.03,10.68,6.41,11.43,2.27,0.62,152.81,4.11,114.7,109.3,61
G,185cm,84kg,22,NCAA,58,5.07,0.404,1.52,0.279,1.4,0.662,2.69,3.67,1.47,0.15,1.72,1.58,5.44,0.475,0.446,3.6,10.82,7.28,21.64,4.09,0.8,134.43,3.99,101.9,90.5,61
PG,183cm,82kg,21,NCAA,122,12.37,0.454,2.72,0.327,5.61,0.782,3.68,4.08,1.22,0.09,2.24,2.26,16.5,0.549,0.49,2.33,10.45,6.48,13.07,2.24,0.28,156.27,1.4,113.2,98.9,61
F,201cm,91kg,22,NCAA,83,5.49,0.472,1.58,0.316,1.78,0.662,2.75,1.06,0.69,0.75,1.51,0.84,6.86,0.541,0.517,3.18,10.97,7.14,11.74,1.85,3.79,144.95,-0.6,110.3,93.9,61
PG,188cm,79kg,22,NCAA,41,7.1,0.39,3.82,0.395,1.99,0.715,2.09,2.89,0.91,0.12,1.76,1.32,8.47,0.526,0.496,1.51,8.59,5.2,14.09,2.38,0.59,149.96,2.64,111,98.8,61
GF,196cm,98kg,23,NCAA,126,9.54,0.494,1.75,0.374,4.03,0.765,4.83,2.26,0.92,0.51,2.16,2.47,13.15,0.574,0.528,4.45,14.1,9.53,17.74,1.91,1.89,163.33,-3.33,108.5,97.1,61
SF,201cm,91kg,21,INTERNATIONAL,26,10.52,0.448,4.68,0.297,3.81,0.788,4.58,1.48,0.71,0.06,2,1.45,13.81,0.566,0.514,4.74,12.43,8.6,10.64,1.21,0.19,153.25,-1.52,116.4,119.5,61
G,188cm,86kg,23,NCAA,137,8.07,0.49,2.6,0.381,1.7,0.746,3.86,5.4,2.33,0.17,1.86,2.02,10.17,0.573,0.552,2.47,11.67,7.12,18.55,4.36,0.58,161.72,4.94,116.4,91.2,61
PF,208cm,101kg,19,NCAA,34,7.83,0.477,2.19,0.261,3.14,0.747,6.76,0.84,0.33,1.89,2.1,1.51,10.38,0.557,0.513,9.43,21.86,15.94,13.93,0.88,7.73,148.5,-4.12,109.6,92.6,61
F,203cm,98kg,22,NCAA,52,5.57,0.505,0.8,0.351,2.01,0.622,5.16,0.24,0.49,0.52,2.75,1.26,7.16,0.548,0.53,12.34,20.39,16.45,16.18,1.65,3.17,147.71,-6.14,104,96,61
GF,198cm,95kg,20,NCAA,78,9.89,0.41,4.57,0.335,3.51,0.787,2.77,1.63,1.09,0.23,1.85,1.27,12.39,0.536,0.487,2.17,8.44,5.48,9.88,2.3,0.82,153.19,-0.62,117.6,95.5,61
PF,203cm,111kg,19,NCAA,6,4.61,0.566,0,0,2.82,0.671,5.29,0.43,0.18,1.32,2.04,1,7.11,0.598,0.566,13.28,20.01,16.84,14.39,0.61,7.7,123.68,-4.01,118.6,94.4,61
